,symbol,open_time,open,high,low,close,volume_coin,close_time,volume,num_of_trades,buy_volume_coin,buy_volume,ignore,date
160,BTCUSDT,1606358400000,18589.5,18594.23,18555.0,18584.78,292.002,1606358459999,5422634.25579,1408,105.750,1963853.26620,0,1970-01-01 00:00:01.606358400
161,BTCUSDT,1606358460000,18584.78,18585.5,18555.0,18557.13,318.706,1606358519999,5918608.57695,1203,134.260,2492982.02262,0,1970-01-01 00:00:01.606358460
162,BTCUSDT,1606358520000,18557.13,18578.52,18520.0,18570.76,851.323,1606358579999,15785237.9706,2693,361.473,6702464.15750,0,1970-01-01 00:00:01.606358520
163,BTCUSDT,1606358580000,18571.32,18604.31,18563.12,18600.88,303.927,1606358639999,5647881.9787,1438,220.883,4104895.69916,0,1970-01-01 00:00:01.606358580
164,BTCUSDT,1606358640000,18600.88,18604.69,18524.55,18527.24,496.642,1606358699999,9225080.29874,1700,121.699,2261392.40922,0,1970-01-01 00:00:01.606358640
165,BTCUSDT,1606358700000,18527.24,18529.94,18483.0,18511.16,898.735,1606358759999,16634417.54762,3041,300.454,5560934.54903,0,1970-01-01 00:00:01.606358700
166,BTCUSDT,1606358760000,18511.17,18513.36,18465.0,18469.67,551.559,1606358819999,10196538.55712,2565,193.481,3577388.43264,0,1970-01-01 00:00:01.606358760
167,BTCUSDT,1606358820000,18469.67,18491.83,18450.0,18469.18,679.781,1606358879999,12554249.51033,2789,372.870,6887595.60672,0,1970-01-01 00:00:01.606358820
168,BTCUSDT,1606358880000,18469.19,18493.0,18428.9,18430.23,689.068,1606358939999,12717047.96639,2597,228.512,4220518.80016,0,1970-01-01 00:00:01.606358880
169,BTCUSDT,1606358940000,18430.23,18504.77,18400.0,18435.9,2524.390,1606358999999,46542200.66844,8185,894.805,16501180.57405,0,1970-01-01 00:00:01.606358940
170,BTCUSDT,1606359000000,18435.61,18501.8,18432.0,18490.06,748.163,1606359059999,13822854.54406,2776,462.525,8546722.02275,0,1970-01-01 00:00:01.606359000
171,BTCUSDT,1606359060000,18488.61,18505.0,18465.83,18478.27,505.124,1606359119999,9337329.22275,2096,273.607,5057825.90436,0,1970-01-01 00:00:01.606359060
172,BTCUSDT,1606359120000,18476.47,18476.47,18380.0,18403.99,1049.718,1606359179999,19326779.4706,4052,251.452,4630506.46118,0,1970-01-01 00:00:01.606359120
173,BTCUSDT,1606359180000,18403.42,18457.57,18390.02,18438.46,604.169,1606359239999,11134128.19623,2990,329.490,6071523.76700,0,1970-01-01 00:00:01.606359180
174,BTCUSDT,1606359240000,18439.37,18502.99,18435.55,18462.49,556.276,1606359299999,10277350.89631,2055,312.613,5775923.18387,0,1970-01-01 00:00:01.606359240
175,BTCUSDT,1606359300000,18464.66,18469.9,18420.0,18421.01,346.399,1606359359999,6388638.73904,1504,101.331,1869057.38217,0,1970-01-01 00:00:01.606359300
176,BTCUSDT,1606359360000,18420.0,18422.16,18370.0,18408.98,1195.248,1606359419999,21988882.48912,4480,429.146,7895399.07384,0,1970-01-01 00:00:01.606359360
177,BTCUSDT,1606359420000,18409.45,18415.0,18381.22,18403.94,399.261,1606359479999,7347163.15504,1869,185.463,3412633.00198,0,1970-01-01 00:00:01.606359420
178,BTCUSDT,1606359480000,18405.48,18433.72,18375.39,18424.49,524.855,1606359539999,9662000.97363,1919,321.515,5919874.78924,0,1970-01-01 00:00:01.606359480
179,BTCUSDT,1606359540000,18424.49,18451.81,18394.15,18420.06,466.115,1606359599999,8585000.88838,1919,213.052,3925571.38665,0,1970-01-01 00:00:01.606359540
180,BTCUSDT,1606359600000,18419.01,18419.01,18335.45,18385.77,1680.013,1606359659999,30861805.83224,6535,634.681,11660622.42843,0,1970-01-01 00:00:01.606359600
181,BTCUSDT,1606359660000,18386.01,18389.05,18320.52,18357.52,982.968,1606359719999,18033608.12541,4138,364.051,6680301.19418,0,1970-01-01 00:00:01.606359660
182,BTCUSDT,1606359720000,18357.53,18374.18,18306.84,18318.31,928.319,1606359779999,17016196.6868,3262,299.894,5499563.03277,0,1970-01-01 00:00:01.606359720
183,BTCUSDT,1606359780000,18318.29,18387.82,18300.0,18366.52,1017.587,1606359839999,18663253.00198,3899,498.493,9146915.91153,0,1970-01-01 00:00:01.606359780
